item_id,name,category,subcategory,color,secondary_color,style,occasion,season,formality,pattern,material,price,gender,comfort_score,versatility_score,popularity_score,trend_score,image_placeholder
TOP_001,Slate Denim Shirt,top,t_shirt,navy,sky_blue,athleisure,office|college|travel,winter,1,floral,chiffon,450,male,0.75,0.43,0.79,0.54,assets/top/TOP_001.svg
TOP_002,Forest Green Oversized Cotton T-Shirt,top,kurti,dusty_rose,grey,streetwear,party|formal|office|semi_formal|festive,monsoon|all,1,geometric,rayon,1850,unisex,0.84,0.69,0.98,0.5,assets/top/TOP_002.svg
TOP_003,Coral Sleeveless Linen Top,top,top,indigo,burnt_orange,streetwear,college|casual|semi_formal,monsoon|winter,1,abstract,knit,1250,female,0.86,0.38,0.49,0.95,assets/top/TOP_003.svg
TOP_004,Coral Casual Henley,top,t_shirt,coral,slate,festive,date|festive|formal,winter,3,solid,chiffon,1200,unisex,0.73,0.37,0.94,0.65,assets/top/TOP_004.svg
TOP_005,Coral Wrap Blouse,top,blouse,sage_green,wine,minimalist,office|formal|beach|semi_formal|party,winter|summer,4,block_print,canvas,2050,male,0.64,0.74,0.38,0.7,assets/top/TOP_005.svg
TOP_006,Navy Peplum Top,top,kurti,slate,grey,festive,travel|formal|beach|casual|party,monsoon,3,animal_print,canvas,1400,unisex,0.68,0.73,0.91,0.41,assets/top/TOP_006.svg
TOP_007,Rust Striped Crew Neck Tee,top,top,sage_green,,festive,office|party|beach,summer|all,3,abstract,velvet,300,male,0.73,0.38,0.7,0.26,assets/top/TOP_007.svg
TOP_008,Indigo Cold Shoulder Top,top,kurti,olive,burnt_orange,festive,beach|date|travel,monsoon,2,animal_print,silk,2050,male,0.79,0.41,0.38,0.38,assets/top/TOP_008.svg
TOP_009,Wine Cold Shoulder Top,top,blouse,royal_blue,navy,casual,casual|college|beach,monsoon,1,embroidered,chiffon,1650,male,0.74,0.51,0.92,0.66,assets/top/TOP_009.svg
TOP_010,Mustard Graphic Print Tee,top,shirt,lavender,cream,athleisure,beach|festive,summer,1,animal_print,denim,2200,female,0.75,0.23,0.43,0.63,assets/top/TOP_010.svg
TOP_011,Olive Denim Shirt,top,shirt,grey,white,festive,college|date|travel,winter,1,animal_print,leather,350,female,0.6,0.45,0.93,0.33,assets/top/TOP_011.svg
TOP_012,Forest Green Tube Top,top,t_shirt,maroon,white,preppy,travel|date|office|semi_formal|beach,summer,3,tie_dye,velvet,550,female,0.76,0.72,0.41,0.97,assets/top/TOP_012.svg
TOP_013,Navy Sleeveless Linen Top,top,t_shirt,wine,coral,casual,festive|college|semi_formal,monsoon|summer,4,abstract,linen,650,male,0.83,0.45,0.75,0.57,assets/top/TOP_013.svg
TOP_014,Cream Sleeveless Linen Top,top,t_shirt,rust,forest_green,formal,travel|semi_formal,monsoon,1,geometric,denim,1750,male,0.71,0.33,0.51,0.99,assets/top/TOP_014.svg
TOP_015,Tan Cold Shoulder Top,top,top,grey,beige,festive,office|formal,winter|monsoon,3,abstract,velvet,950,male,0.78,0.31,0.65,0.4,assets/top/TOP_015.svg
TOP_016,Coral Off-Shoulder Top,top,t_shirt,indigo,beige,minimalist,casual|party,summer|all,4,stripes,georgette,950,male,0.73,0.41,0.71,0.32,assets/top/TOP_016.svg
TOP_017,Burnt Orange Tank Top,top,shirt,indigo,sage_green,athleisure,semi_formal|beach|college|party,winter,2,animal_print,polyester,950,male,0.67,0.59,0.85,0.53,assets/top/TOP_017.svg
TOP_018,Olive Peter Pan Collar Top,top,shirt,cream,lavender,minimalist,casual|date|semi_formal|travel|festive,winter,2,animal_print,denim,1250,female,0.7,0.74,0.84,0.48,assets/top/TOP_018.svg
TOP_019,Tan Cold Shoulder Top,top,top,olive,sky_blue,minimalist,college|formal,monsoon|all,1,abstract,jersey,450,female,0.89,0.37,0.57,0.66,assets/top/TOP_019.svg
TOP_020,Blush Off-Shoulder Top,top,blouse,tan,dusty_rose,preppy,party|festive|college,monsoon|all,1,animal_print,cotton,1600,male,0.89,0.39,0.39,0.54,assets/top/TOP_020.svg
TOP_021,Slate Casual Henley,top,kurti,mustard,,preppy,travel|casual|formal|beach|college,all|monsoon,4,floral,velvet,1600,unisex,0.79,0.73,0.82,0.73,assets/top/TOP_021.svg
TOP_022,Tan Ribbed Knit Top,top,blouse,royal_blue,,semi_formal,semi_formal|formal,winter,1,embroidered,jersey,900,unisex,0.88,0.31,0.7,0.77,assets/top/TOP_022.svg
TOP_023,Teal Mandarin Collar Kurta,top,kurti,royal_blue,olive,festive,college|festive,summer,1,embroidered,silk,2200,female,0.83,0.29,0.99,0.68,assets/top/TOP_023.svg
TOP_024,Slate Embroidered Kurti,top,kurti,royal_blue,tan,minimalist,office|date|gym|formal|festive,monsoon,4,embroidered,suede,2450,unisex,0.67,0.76,0.54,0.91,assets/top/TOP_024.svg
TOP_025,Beige Mandarin Collar Kurta,top,t_shirt,mustard,dusty_rose,festive,semi_formal|college|festive,winter,4,animal_print,canvas,2200,male,0.72,0.42,0.79,0.89,assets/top/TOP_025.svg
TOP_026,Charcoal Oversized Cotton T-Shirt,top,top,charcoal,royal_blue,minimalist,festive|beach|travel|semi_formal,all,4,abstract,knit,2100,female,0.89,0.68,0.94,0.98,assets/top/TOP_026.svg
TOP_027,Teal Halter Neck Top,top,top,beige,charcoal,formal,beach|festive,monsoon|summer,3,embroidered,cotton,500,male,0.88,0.36,0.49,0.96,assets/top/TOP_027.svg
TOP_028,Navy Wrap Blouse,top,kurti,coral,navy,casual,party|semi_formal,summer,2,tie_dye,cotton,450,female,0.87,0.35,0.38,0.96,assets/top/TOP_028.svg
TOP_029,Forest Green Sheer Overlay Top,top,kurti,indigo,olive,minimalist,gym|beach|college,all|winter,1,floral,knit,750,unisex,0.88,0.54,0.47,0.76,assets/top/TOP_029.svg
TOP_030,Sky Blue Striped Crew Neck Tee,top,blouse,rust,tan,bohemian,travel|festive|party|college,summer|winter,4,abstract,polyester,350,unisex,0.72,0.54,0.81,0.97,assets/top/TOP_030.svg
TOP_031,Sage Green Sheer Overlay Top,top,blouse,royal_blue,navy,minimalist,festive|gym|formal|party|beach,all|winter,2,solid,synthetic_leather,2150,unisex,0.62,0.75,0.45,0.84,assets/top/TOP_031.svg
